Sun 03/05/2026 - 00:00:12,23.71,63.72,1029.67,3.79,90.00
Sun 03/05/2026 - 00:00:46,23.71,63.62,1029.62,3.79,90.00
Sun 03/05/2026 - 00:01:20,23.72,63.59,1029.63,3.79,90.00
Sun 03/05/2026 - 00:01:54,23.73,63.56,1029.66,3.79,90.00
Sun 03/05/2026 - 00:02:28,23.73,63.54,1029.60,3.79,90.00
Sun 03/05/2026 - 00:03:02,23.74,63.54,1029.61,3.79,90.00
Sun 03/05/2026 - 00:03:36,23.74,63.56,1029.65,3.79,90.00
Sun 03/05/2026 - 00:04:10,23.75,63.54,1029.66,3.79,90.00
Sun 03/05/2026 - 00:04:44,23.76,63.58,1029.70,3.79,90.00
Sun 03/05/2026 - 00:05:18,23.76,63.49,1029.65,3.79,90.00
Sun 03/05/2026 - 00:05:52,23.76,63.53,1029.60,3.79,90.00
Sun 03/05/2026 - 00:06:25,23.76,63.55,1029.65,3.79,90.00
Sun 03/05/2026 - 00:06:59,23.76,63.55,1029.60,3.79,90.00
Sun 03/05/2026 - 00:07:33,23.75,63.52,1029.68,3.79,90.00
Sun 03/05/2026 - 00:08:07,23.75,63.52,1029.68,3.79,90.00
Sun 03/05/2026 - 00:08:41,23.74,63.51,1029.68,3.79,90.00
Sun 03/05/2026 - 00:09:15,23.74,63.55,1029.67,3.79,90.00
Sun 03/05/2026 - 00:09:49,23.74,63.52,1029.67,3.79,90.00
Sun 03/05/2026 - 00:10:23,23.74,63.49,1029.69,3.79,90.00
Sun 03/05/2026 - 00:10:57,23.75,63.46,1029.63,3.79,90.00
Sun 03/05/2026 - 00:11:31,23.73,63.46,1029.71,3.79,90.00
Sun 03/05/2026 - 00:12:05,23.73,63.47,1029.60,3.79,90.00
Sun 03/05/2026 - 00:12:39,23.72,63.45,1029.64,3.79,90.00
Sun 03/05/2026 - 00:13:13,23.71,63.50,1029.68,3.79,90.00
Sun 03/05/2026 - 00:13:47,23.71,63.47,1029.70,3.79,90.00
Sun 03/05/2026 - 00:14:21,23.72,63.51,1029.67,3.79,90.00
Sun 03/05/2026 - 00:14:55,23.72,63.52,1029.69,3.79,90.00
Sun 03/05/2026 - 00:15:29,23.72,63.45,1029.63,3.79,90.00
Sun 03/05/2026 - 00:16:03,23.73,63.41,1029.62,3.79,90.00
Sun 03/05/2026 - 00:16:36,23.71,63.35,1029.68,3.79,90.00
Sun 03/05/2026 - 00:17:10,23.72,63.36,1029.66,3.79,90.00
Sun 03/05/2026 - 00:17:44,23.74,63.34,1029.67,3.79,90.00
Sun 03/05/2026 - 00:18:18,23.72,63.33,1029.64,3.79,90.00
Sun 03/05/2026 - 00:18:52,23.70,63.33,1029.62,3.79,90.00
Sun 03/05/2026 - 00:19:26,23.69,63.36,1029.63,3.79,90.00
Sun 03/05/2026 - 00:20:00,23.68,63.39,1029.63,3.78,90.00
Sun 03/05/2026 - 00:20:34,23.65,63.35,1029.64,3.78,90.00
Sun 03/05/2026 - 00:21:08,23.63,63.26,1029.60,3.79,90.00
Sun 03/05/2026 - 00:21:42,23.64,63.22,1029.73,3.79,90.00
Sun 03/05/2026 - 00:22:16,23.64,63.20,1029.67,3.79,90.00
Sun 03/05/2026 - 00:22:50,23.63,63.31,1029.77,3.79,90.00
Sun 03/05/2026 - 00:23:24,23.62,63.36,1029.69,3.79,90.00
Sun 03/05/2026 - 00:23:58,23.60,63.34,1029.74,3.79,90.00
Sun 03/05/2026 - 00:24:32,23.59,63.35,1029.63,3.78,90.00
Sun 03/05/2026 - 00:25:06,23.56,63.35,1029.70,3.79,90.00
Sun 03/05/2026 - 00:25:40,23.56,63.33,1029.73,3.79,90.00
Sun 03/05/2026 - 00:26:14,23.55,63.27,1029.66,3.79,90.00
Sun 03/05/2026 - 00:26:48,23.54,63.24,1029.72,3.79,90.00
Sun 03/05/2026 - 00:27:22,23.54,63.29,1029.82,3.79,90.00
Sun 03/05/2026 - 00:27:56,23.52,63.29,1029.73,3.78,90.00
Sun 03/05/2026 - 00:28:30,23.52,63.25,1029.73,3.79,90.00
Sun 03/05/2026 - 00:29:03,23.50,63.31,1029.76,3.79,90.00
Sun 03/05/2026 - 00:29:37,23.48,63.35,1029.67,3.79,90.00
Sun 03/05/2026 - 00:30:11,23.47,63.37,1029.70,3.79,90.00
Sun 03/05/2026 - 00:30:45,23.47,63.40,1029.73,3.78,90.00
Sun 03/05/2026 - 00:31:19,23.45,63.45,1029.67,3.79,90.00
Sun 03/05/2026 - 00:31:53,23.44,63.56,1029.71,3.78,90.00
Sun 03/05/2026 - 00:32:27,23.43,63.63,1029.80,3.78,90.00
Sun 03/05/2026 - 00:33:01,23.43,63.57,1029.77,3.78,90.00
Sun 03/05/2026 - 00:33:35,23.42,63.62,1029.75,3.79,90.00
Sun 03/05/2026 - 00:34:09,23.40,63.58,1029.80,3.78,90.00
Sun 03/05/2026 - 00:34:43,23.39,63.64,1029.79,3.78,90.00
Sun 03/05/2026 - 00:35:17,23.38,63.65,1029.74,3.78,90.00
Sun 03/05/2026 - 00:35:51,23.38,63.67,1029.77,3.78,90.00
Sun 03/05/2026 - 00:36:25,23.36,63.67,1029.73,3.78,90.00
Sun 03/05/2026 - 00:36:59,23.36,63.73,1029.73,3.78,90.00
Sun 03/05/2026 - 00:37:33,23.35,63.71,1029.72,3.78,90.00
Sun 03/05/2026 - 00:38:07,23.34,63.80,1029.81,3.78,90.00
Sun 03/05/2026 - 00:38:41,23.33,63.84,1029.74,3.78,90.00
Sun 03/05/2026 - 00:39:15,23.32,64.17,1029.77,3.78,90.00
Sun 03/05/2026 - 00:39:49,23.31,64.04,1029.81,3.78,90.00
Sun 03/05/2026 - 00:40:23,23.30,64.04,1029.79,3.78,90.00
Sun 03/05/2026 - 00:40:56,23.29,63.99,1029.80,3.78,90.00
Sun 03/05/2026 - 00:41:30,23.28,64.00,1029.76,3.78,90.00
Sun 03/05/2026 - 00:42:04,23.28,64.02,1029.81,3.78,90.00
Sun 03/05/2026 - 00:42:38,23.26,64.03,1029.83,3.78,90.00
Sun 03/05/2026 - 00:43:12,23.26,64.06,1029.89,3.79,90.00
Sun 03/05/2026 - 00:43:46,23.25,64.09,1029.82,3.78,90.00
Sun 03/05/2026 - 00:44:20,23.25,64.16,1029.84,3.78,90.00
Sun 03/05/2026 - 00:44:54,23.23,64.16,1029.86,3.78,90.00
Sun 03/05/2026 - 00:45:28,23.21,64.22,1029.87,3.78,90.00
Sun 03/05/2026 - 00:46:02,23.20,64.26,1029.81,3.78,90.00
Sun 03/05/2026 - 00:46:36,23.19,64.27,1029.88,3.78,90.00
Sun 03/05/2026 - 00:47:10,23.20,64.34,1029.95,3.78,90.00
Sun 03/05/2026 - 00:47:44,23.18,64.35,1029.91,3.78,90.00
Sun 03/05/2026 - 00:48:18,23.16,64.36,1029.83,3.78,90.00
Sun 03/05/2026 - 00:48:52,23.15,64.40,1029.92,3.78,90.00
Sun 03/05/2026 - 00:49:26,23.15,64.40,1029.92,3.78,90.00
Sun 03/05/2026 - 00:50:00,23.13,64.40,1029.86,3.78,90.00
Sun 03/05/2026 - 00:50:34,23.13,64.76,1029.85,3.78,90.00
Sun 03/05/2026 - 00:51:08,23.12,64.68,1029.92,3.78,90.00
Sun 03/05/2026 - 00:51:42,23.11,64.61,1029.93,3.78,90.00
Sun 03/05/2026 - 00:52:16,23.10,64.71,1029.94,3.78,90.00
Sun 03/05/2026 - 00:52:50,23.09,64.79,1029.98,3.78,90.00
Sun 03/05/2026 - 00:53:23,23.09,64.76,1029.98,3.78,90.00
